n_ws^third_max_value,ShearModulus_max_value,Group_composition_average,Column_composition_average,GSenergy_pa_composition_average,AtomicVolume_difference,ThirdIonizationEnergy_min_value,NsUnfilled_arithmetic_average,SecondIonizationEnergy_min_value,AtomicVolume_min_value,BCCenergy_pa_composition_average,ICSDVolume_min_value,NdValence_composition_average,valence_max_value,NsValence_arithmetic_average,valence_difference,Electronegativity_composition_average,IsBoron_difference,IsBoron_composition_average,IsBoron_arithmetic_average,valence_composition_average,NpUnfilled_difference,ShearModulus_difference,IsBoron_max_value,NValance_difference
1.45,30.0,11.8,11.8,-4.801292117,18569.92845529496,19.174,0.0,10.004,22.2687111944408,-3.390645092,17.3,1.3,4.0,2.0,2.0,2.571,1.0,0.1,0.2,2.4000000000000004,3.0,25.1,1.0,16.0
1.45,30.0,10.8,10.8,-5.16316323,18569.92845529496,19.174,0.0,10.004,22.2687111944408,-3.7424636960000006,17.3,0.4,4.0,2.0,2.0,2.529,0.0,0.0,0.0,2.4000000000000004,0.0,25.1,0.0,16.0
1.64,38.0,10.8,10.8,-5.2381781465,18574.195033509084,23.32,0.4,10.004,18.0021329803168,-3.841553759,17.3,0.6000000000000001,5.0,1.6,4.0,2.541,0.0,0.0,0.0,2.4000000000000004,0.0,33.8,0.0,17.0
1.63,69.0,10.8,10.8,-5.4139859475000005,18574.150436930217,23.32,0.2,10.004,18.0467295591839,-4.01736156,17.3,0.5,5.0,1.7999999999999998,4.0,2.531,0.0,0.0,0.0,2.4000000000000004,0.0,64.8,0.0,18.0
1.64,47.0,10.8,10.8,-5.1227720625,18578.35226826842,23.32,0.2,10.004,13.8448982209802,-3.726147675,13.8,0.5,5.0,1.7999999999999998,4.0,2.544,0.0,0.0,0.0,2.4000000000000004,0.0,42.8,0.0,17.0
1.52,44.0,10.8,10.8,-4.9736072455,18574.560849330595,23.32,0.0,10.004,17.6363171588061,-3.563162022,17.3,0.4,4.0,2.0,2.0,2.568,0.0,0.0,0.0,2.4000000000000004,0.0,39.1,0.0,16.0
1.45,33.0,10.8,10.8,-5.050680389,18569.92845529496,22.99,0.0,10.004,22.2687111944408,-3.6437626980000006,17.3,0.4,4.0,2.0,2.0,2.547,0.0,0.0,0.0,2.4000000000000004,0.0,28.1,0.0,16.0
1.64,38.0,10.8,10.8,-5.177213593833001,18574.195033509084,23.32,0.4,10.004,18.0021329803168,-3.7804487510000007,17.3,0.6000000000000001,5.0,1.6,4.0,2.536,0.0,0.0,0.0,2.4000000000000004,0.0,34.7,0.0,17.0
1.45,30.0,11.8,11.8,-4.579617674833,18569.92845529496,23.32,0.2,10.004,22.2687111944408,-3.1601081110000004,17.3,1.2,5.0,1.7999999999999998,4.0,2.581,0.0,0.0,0.0,2.4000000000000004,1.0,26.7,0.0,17.0
1.63,69.0,10.8,10.8,-5.353021394833,18574.150436930217,23.32,0.2,10.004,18.0467295591839,-3.956256552,17.3,0.5,5.0,1.7999999999999998,4.0,2.526,0.0,0.0,0.0,2.4000000000000004,0.0,65.7,0.0,18.0
1.64,47.0,10.8,10.8,-5.061807509833001,18578.35226826842,23.32,0.2,10.004,13.8448982209802,-3.665042667,13.8,0.5,5.0,1.7999999999999998,4.0,2.539,0.0,0.0,0.0,2.4000000000000004,0.0,43.7,0.0,17.0
1.45,30.0,12.0,12.0,-5.400190197000001,18569.92845529496,23.32,0.0,10.004,22.2687111944408,-3.981410521,17.3,1.4,4.0,2.0,2.0,2.646,0.0,0.0,0.0,2.6,2.0,25.1,0.0,26.0
1.52,44.0,12.0,12.0,-5.1822829755,18574.560849330595,23.32,0.0,10.004,17.6363171588061,-3.770072396,17.3,1.4,4.0,2.0,2.0,2.67,0.0,0.0,0.0,2.6,2.0,39.1,0.0,26.0
1.45,33.0,12.0,12.0,-5.259356119,18569.92845529496,22.99,0.0,10.004,22.2687111944408,-3.850673072,17.3,1.4,4.0,2.0,2.0,2.649,0.0,0.0,0.0,2.6,2.0,28.1,0.0,26.0
1.64,38.0,10.8,10.8,-5.147522958000001,18574.195033509084,23.32,0.4,10.004,18.0021329803168,-3.7511939880000007,17.3,0.6000000000000001,5.0,1.6,3.0,2.525,0.0,0.0,0.0,2.7,0.0,33.1,0.0,17.0
